title,description,genres
The Long Good Friday,"In the late 1970s, Cockney crime boss Harold Shand, a gangster trying to become a legitimate property mogul, has big plans to get the American Mafia to bankroll his transformation of a derelict area of London into the possible venue for a future Olympic Games. However, a series of bombings targets his empire on the very weekend the Americans are in town. Shand is convinced there is a traitor in his organization, and sets out to eliminate the rat in typically ruthless fashion.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
The Rock,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.","['Unknown', 'Unknown', 'Unknown']"
Your Fault,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,"['Unknown', 'Unknown']"
Extreme Job,"A drug squad attempts to take down a criminal organization and they must go undercover to do so, so they begin working at a chicken restaurant, that becomes famous for its delicious chicken. Due to the unexpected popularity, the detectives find themselves in a situation they never expected.","['Unknown', 'Unknown', 'Unknown']"
The Old Guard,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,"['Unknown', 'Unknown']"
Hustle & Flow,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.","['Unknown', 'Unknown', 'Unknown']"
The Guardian,"A high school swim champion with a troubled past enrolls in the U.S. Coast Guard's 'A' School, where legendary rescue swimmer Ben Randall teaches him some hard lessons about loss, love, and self-sacrifice.","['Unknown', 'Unknown']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","['Unknown', 'Unknown', 'Unknown']"
Superman: Red Son,"Set in the thick of the Cold War, Red Son introduces us to a Superman who landed in the USSR during the 1950s and grows up to become a Soviet symbol that fights for the preservation of Stalin’s brand of communism.","['Unknown', 'Unknown', 'Unknown']"
As the Gods Will,"High school student Shun Takahata is bored. Bored with the day-to-day monotony of school and life, he prays for change, for something exciting. Suddenly, he and his classmates are forced to play deadly children's games and facing terrifying creatures from a talking Daruma doll to a sharp-clawed lucky cat.","['Unknown', 'Unknown', 'Unknown']"
The Way Way Back,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.","['Unknown', 'Unknown']"
Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.","['Unknown', 'Unknown', 'Unknown']"
Fun Is Beautiful,"Three stories set in summer Rome, three characters all played by Verdone: an awkward young man meets a Spanish tourist; another one plans a trip towards East with a suitcase full of stockings and biro pens; a hippie is visited by his father, who tries to convince him to get back home.",['Unknown']
Scooby-Doo! and the Legend of the Vampire,"The Yowie Yahoo starts kidnapping musicians at a concert attended by Scooby and the gang in Vampire Rock, Australia.","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Aloha Scooby-Doo!,"The Mystery Gang goes to Hawaii for the Big Kahuna of Hanahuna Surfing Contest. However, the gang and the locals find the island invaded by the vengeful Wiki Tiki spirit and his demons.","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.","['Unknown', 'Unknown', 'Unknown']"
The Emperor's Club,"William Hundert is a passionate and principled Classics professor who finds his tightly-controlled world shaken and inexorably altered when a new student, Sedgewick Bell, walks into his classroom. What begins as a fierce battle of wills gives way to a close student-teacher relationship, but results in a life lesson for Hundert that will still haunt him a quarter of a century later.",['Unknown']
Baby Boy,"The story of Jody, a misguided, 20-year-old African-American who is really just a baby boy finally forced-kicking and screaming to face the commitments of real life. Streetwise and jobless, he has not only fathered two children by two different women-Yvette and Peanut but still lives with his own mother. He can't seem to strike a balance or find direction in his chaotic life.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Lady and the Tramp,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.","['Unknown', 'Unknown', 'Unknown']"
SLC Punk,"Two former geeks become 1980s punks, then party and go to concerts while deciding what to do with their lives.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
A Star Is Born,"A movie star helps a young singer-actress find fame, even as age and alcoholism send his own career into a downward spiral.","['Unknown', 'Unknown', 'Unknown']"
The Place,"The fates of an apparently random group of strangers who each come into contact with a mysterious figure who they believe possesses the power to grant any wish, in return for which they must carry out a task he assigns them.","['Unknown', 'Unknown']"
Tangled Ever After,"The kingdom is in a festive mood as everyone gathers for the royal wedding of Rapunzel and Flynn. However, when Pascal and Maximus, as flower chameleon and ring bearer, respectively, lose the gold bands, a frenzied search and recovery mission gets underway. As the desperate duo tries to find the rings before anyone discovers that they’re missing, they leave behind a trail of comical chaos that includes flying lanterns, a flock of doves, a wine barrel barricade and a very sticky finale. Will Maximus and Pascal save the day and make it to the church in time? And will they ever get Flynn’s nose right?","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Dead Man's Shoes,A soldier returns to his small town and exacts a deadly revenge on the thugs who tormented his disabled brother while he was away.,"['Unknown', 'Unknown', 'Unknown']"
Suspicion,"A wealthy and sheltered young woman elopes with a charming playboy and soon learns of his bad traits, including his extreme dishonesty and lust for money. Gradually, she begins to suspect that he intends to kill her to collect her life insurance.","['Unknown', 'Unknown', 'Unknown']"
Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","['Unknown', 'Unknown']"
Drugstore Cowboy,"Portland, Oregon, 1971. Bob Hughes is the charismatic leader of a peculiar quartet, formed by his wife, Dianne, and another couple, Rick and Nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. But neither fun nor luck last forever.","['Unknown', 'Unknown']"
